Guid ID,English,German,Danish,Spanish,French,Italian,Latin
8d0dc565-ee2b-4647-a2b6-15f092477e03,wow i hope one day I can become the player.,"wow ich hoffe, einen Tag kann ich die Spieler werden.",wow Jeg håber en dag jeg kan blive spilleren.,wow espero que algún día pueda convertirse en el jugador.,"wow, je l'espère un jour, je peux devenir le joueur.",wow Spero che un giorno io possa diventare il giocatore.,Spero autem die wow ludio ludius et possunt facti sunt.
f1b89cfc-a503-47b3-8e0d-eb7e0709a151,End,Ende,Ende,Fin,Fin,Fine,finis
74b508a4-9386-4bcf-af55-fb972891157d,Sucks to be you...,Kotzen Sie zu sein ...,Sucks at være dig ...,Chupa para ser usted ...,Suce pour vous ...,Fa schifo essere te ...,Ut sint vobis sugit ...
53a42b3c-c857-4982-a20c-a3253f917cb0,End,Ende,Ende,Fin,Fin,Fine,finis
84477b71-1df7-40fe-99be-e4daaa1dc4c0,No not really...,Nein nicht wirklich...,Nej ikke rigtigt...,No en realidad no...,"Non, pas vraiment...","No, non proprio...",Non realiter...
0d4bffe1-3674-4e92-8094-4ba26bf53b3c,Continue,Fortsetzen,Blive ved,Seguir,Continuer,Continua,continue
f00fc392-5041-460f-8075-e6e68d758ae6,Yes it is really fun!,"Ja, es ist wirklich Spaß!","Ja, det er virkelig sjovt!","Sí, es muy divertido!","Oui, il est vraiment amusant!","Sì, è davvero divertente!",Ita est vere fun!
28b8b171-5303-470c-9bb0-ebcd95880fbc,Continue,Fortsetzen,Blive ved,Seguir,Continuer,Continua,continue
2ecf71f3-64ab-4f8c-a670-1240d7080670,Is it any fun to be the player?,Ist es ein Spaß die Spieler zu sein?,Er det noget sjovt at være den spiller?,No es de divertido ser el jugador?,Est-il amusant d'être le joueur?,C'è da divertirsi ad essere il giocatore?,An ulla sit amet ludio ludius esse?
c43e230a-0bab-4cb9-b760-2dd48557740e,Yes!,Ja!,Ja!,¡Si!,Oui!,Sì!,Ita!
9a732f10-6dba-48dd-aed0-4d32128a93fd,No..,Nein..,Ingen..,No..,Non..,No..,Non ..
67523bb2-295d-4a46-af05-06f441ee243d,What do you want to color?,Was möchten Sie Farbe?,Hvad ønsker du at farve?,¿Qué desea a color?,Que voulez-vous de la couleur?,Che cosa vuoi di colore?,Quid vis ut color?
ec42d52f-53c4-40e7-980a-f418f6240ee1,Color Player,Farbe Spieler,Farve-afspiller,color del jugador,couleur Joueur,Colore del giocatore,Ludio ludius color
10062937-82db-43ef-b465-9743a85d39c3,Color Npc,Farbe Npc,Farve Npc,color de NPC,couleur Npc,Colore Npc,color Anime
8ececed3-9ee1-4af6-a9b9-a1ef4f914b30,Go back,Geh zurück,Gå tilbage,Regresa,Retourner,Torna indietro,Revertere
35aafad0-9832-4ac9-9a48-dcac7b65029a,"I am a random Npc.
You?","Ich bin ein zufälliges Npc.
Du?","Jeg er en tilfældig NPC.
Du?","Soy un NPC al azar.
¿Usted?","Je suis un Npc aléatoire.
Toi?","Sono un Npc casuale.
Tu?","Temere a me Anime.
Vos?"
25586e4e-9179-49f2-bd60-d9d0dedb4b97,Continue,Fortsetzen,Blive ved,Seguir,Continuer,Continua,continue
9aaf650d-8a46-4bcd-9a5b-36c35ea2896b,Yes?,Ja?,Ja?,¿Si?,Oui?,Sì?,Ita?
3628d0d6-d65a-468e-8bf7-93cd54dbbf3b,Who are you?,Wer bist du?,Hvem er du?,¿Quién eres tú?,Qui êtes vous?,Tu chi sei?,Quis es?
4b5795d1-914f-4b25-b9e5-de511ff13671,I want to color stuff,Ich will Farbe Sachen,Jeg ønsker at farve ting,Quiero cosas de color,Je veux des trucs couleur,Voglio roba colore,Volo color supellectilem
da240a29-9f0d-4016-a079-f96e997f13be,Bye,Tschüss,Farvel,Adiós,Au revoir,Ciao,vale
92ed6804-2031-4fc4-88fe-38377ae88dd5,I am supposed to be the player!,Ich sollte der Spieler sein!,Jeg skulle være den spiller!,Se supone que debo ser el jugador!,Je suis censé être le joueur!,Dovrei essere il giocatore!,Mihi creditum et id ludio ludius?
5e13bcb9-6496-4366-aebb-746fcaf71758,Continue,Fortsetzen,Blive ved,Seguir,Continuer,Continua,continue
