Guid ID,English,German,Danish,Spanish,French,Italian,Latin
8d0dc565-ee2b-4647-a2b6-15f092477e03,"wow i hope one day I can become the player.","","","","","",""
f1b89cfc-a503-47b3-8e0d-eb7e0709a151,"End","Continue","","","","",""
74b508a4-9386-4bcf-af55-fb972891157d,"Sucks to be you...","","","","","",""
53a42b3c-c857-4982-a20c-a3253f917cb0,"End","Continue","","","","",""
84477b71-1df7-40fe-99be-e4daaa1dc4c0,"No not really...","","","","","",""
0d4bffe1-3674-4e92-8094-4ba26bf53b3c,"Continue","Continue","","","","",""
f00fc392-5041-460f-8075-e6e68d758ae6,"Yes it is really fun!","","","","","",""
28b8b171-5303-470c-9bb0-ebcd95880fbc,"Continue","Continue","","","","",""
2ecf71f3-64ab-4f8c-a670-1240d7080670,"Is it any fun to be the player?","","","","","",""
c43e230a-0bab-4cb9-b760-2dd48557740e,"Yes!","Continue","","","","",""
9a732f10-6dba-48dd-aed0-4d32128a93fd,"No..","Continue","","","","",""
67523bb2-295d-4a46-af05-06f441ee243d,"What do you want to color?","","","","","",""
ec42d52f-53c4-40e7-980a-f418f6240ee1,"Color Player","Continue","","","","",""
10062937-82db-43ef-b465-9743a85d39c3,"Color Npc","Continue","","","","",""
8ececed3-9ee1-4af6-a9b9-a1ef4f914b30,"Go back","Continue","","","","",""
35aafad0-9832-4ac9-9a48-dcac7b65029a,"I am a random Npc.
You?","","","","","",""
25586e4e-9179-49f2-bd60-d9d0dedb4b97,"Continue","Continue","","","","",""
9aaf650d-8a46-4bcd-9a5b-36c35ea2896b,"Yes?","","","","","",""
3628d0d6-d65a-468e-8bf7-93cd54dbbf3b,"Who are you?","Continue","","","","",""
4b5795d1-914f-4b25-b9e5-de511ff13671,"I want to color stuff","Continue","","","","",""
da240a29-9f0d-4016-a079-f96e997f13be,"Bye","Continue","","","","",""
92ed6804-2031-4fc4-88fe-38377ae88dd5,"I am supposed to be the player!","","","","","",""
5e13bcb9-6496-4366-aebb-746fcaf71758,"Continue","Continue","","","","",""
